Model,2023,2022,2021,2020,2019,2018,2017,2016,2015
42,"  141,657 ","  132,804 ","  123,950 ","  115,096 ","  97,389 ","  88,536 ","  79,682 ","  70,829 ","  61,975 "
450X,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Access,"  81,821 ","  80,042 ","  78,263 ","  72,927 ","  64,034 ","  53,361 ","  48,915 ","  44,468 ","  40,021 "
Activa 110,"  75,751 ","  74,105 ","  72,458 ","  67,517 ","  59,284 ","  49,403 ","  45,286 ","  41,169 ","  37,052 "
Activa 125,"  81,780 ","  80,002 ","  78,225 ","  72,891 ","  64,002 ","  53,335 ","  48,890 ","  44,446 ","  40,001 "
Adventure 250,"  197,474 ","  185,132 ","  172,790 ","  160,448 ","  135,764 ","  123,422 ","  111,079 ","  98,737 ","  86,395 "
Adventure 390,"  261,565 ","  245,217 ","  228,869 ","  212,521 ","  179,826 ","  163,478 ","  147,130 ","  130,782 ","  114,435 "
Aerox,"  133,896 ","  126,619 ","  112,065 ","  94,600 ","  87,323 ","  72,770 ","  65,493 ","  58,216 ","  50,939 "
Apache RR 310,"  217,600 ","  204,000 ","  190,400 ","  176,800 ","  149,600 ","  136,000 ","  122,400 ","  108,800 ","  95,200 "
Apache RTR 160 2v,"  108,023 ","  104,340 ","  98,203 ","  92,065 ","  79,790 ","  67,514 ","  61,377 ","  55,239 ","  49,101 "
Apache RTR 160 4v,"  113,109 ","  109,253 ","  102,826 ","  96,399 ","  83,546 ","  70,693 ","  64,266 ","  57,840 ","  51,413 "
Apache RTR 180 2v,"  135,520 ","  130,900 ","  123,200 ","  115,500 ","  100,100 ","  84,700 ","  77,000 ","  69,300 ","  61,600 "
Apache RTR 200 4v,"  129,393 ","  124,981 ","  117,630 ","  110,278 ","  95,574 ","  80,870 ","  73,519 ","  66,167 ","  58,815 "
Avenger 160,"  102,925 ","  99,416 ","  93,568 ","  87,720 ","  76,024 ","  64,328 ","  58,480 ","  52,632 ","  46,784 "
Avenger 220,"  126,281 ","  121,976 ","  114,801 ","  107,626 ","  93,276 ","  78,926 ","  71,751 ","  64,575 ","  57,400 "
Avenis,"  86,605 ","  81,898 ","  72,484 ","  61,188 ","  56,481 ","  47,068 ","  42,361 ","  37,654 ","  32,947 "
Bobber,"  173,033 ","  162,219 ","  151,404 ","  140,589 ","  118,960 ","  108,146 ","  97,331 ","  86,517 ","  75,702 "
Burgman,"  93,106 ","  89,932 ","  84,642 ","  79,352 ","  68,771 ","  58,191 ","  52,901 ","  47,611 ","  42,321 "
CB  ,"  137,704 ","  130,220 ","  115,252 ","  97,291 ","  89,807 ","  74,839 ","  67,355 ","  59,871 ","  52,387 "
CB Shine,"  69,109 ","  66,753 ","  62,827 ","  58,900 ","  51,047 ","  43,193 ","  39,267 ","  35,340 ","  31,413 "
CB300F,"  182,578 ","  171,167 ","  159,755 ","  148,344 ","  125,522 ","  114,111 ","  102,700 ","  91,289 ","  79,878 "
CB300R,"  222,470 ","  208,566 ","  194,662 ","  180,757 ","  152,948 ","  139,044 ","  125,140 ","  111,235 ","  97,331 "
CB350RS,"  174,142 ","  163,258 ","  152,374 ","  141,490 ","  119,723 ","  108,839 ","  97,955 ","  87,071 ","  76,187 "
CB650R,"  732,342 ","  686,570 ","  640,799 ","  595,028 ","  503,485 ","  457,714 ","  411,942 ","  366,171 ","  320,399 "
CBR650R,"  732,342 ","  686,570 ","  640,799 ","  595,028 ","  503,485 ","  457,714 ","  411,942 ","  366,171 ","  320,399 "
CD 110,"  64,349 ","  62,155 ","  58,499 ","  54,843 ","  47,531 ","  40,218 ","  36,562 ","  32,906 ","  29,250 "
Chetak,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Classic 350,"  191,773 ","  187,604 ","  183,435 ","  170,928 ","  150,083 ","  125,069 ","  114,647 ","  104,224 ","  93,802 "
Continental GT 650,"  265,333 ","  248,750 ","  232,167 ","  215,583 ","  182,417 ","  165,833 ","  149,250 ","  132,667 ","  116,083 "
CT 110,"  63,608 ","  60,151 ","  53,237 ","  44,940 ","  41,483 ","  34,570 ","  31,113 ","  27,656 ","  24,199 "
CT 125,"  69,773 ","  65,981 ","  58,397 ","  49,296 ","  45,504 ","  37,920 ","  34,128 ","  30,336 ","  26,544 "
Destini,"  75,353 ","  71,257 ","  63,067 ","  53,238 ","  49,143 ","  40,953 ","  36,857 ","  32,762 ","  28,667 "
