Model,Age,Sales_Price
42,0,141657
Access,0,81820
Activa 110,0,75751
Activa 125,0,81780
Adventure 250,0,197474
Adventure 390,0,261564
Aerox,0,133895
Apache RR 310,0,217600
Apache RTR 160 2v,0,108022
Apache RTR 160 4v,0,113108
Apache RTR 180 2v,0,135520
Apache RTR 200 4v,0,129392
Avenger 160,0,102924
Avenger 220,0,126280
Avenis,0,86604
Bobber,0,173033
Burgman,0,93105
CB  ,0,137703
CB Shine,0,69109
CB300F,0,182577
CB300R,0,222470
CB350RS,0,174142
CB650R,0,732341
CBR650R,0,732341
CD 110,0,64349
Classic 350,0,191772
Continental GT 650,0,265333
CT 110,0,63607
CT 125,0,69772
Destini,0,75352
Dio,0,73450
Dominar 250,0,147005
Dominar 400,0,183824
Duet,0,48235
Duke 125,0,156788
Duke 200,0,169816
Duke 250,0,219282
Duke 390,0,238084
Fascino 125,0,78478
FZ,0,116427
FZ 25,0,133266
FZS 25,0,137226
Gixxer 155,0,127913
Gixxer 250,0,178421
Gixxer SF 250,0,192957
Gixxer SF155,0,130030
Gixxer SF250,0,183343
Glamour,0,78667
Glamour Canvas,0,78418
Glamour Xtec,0,85627
Grazia,0,78631
H'ness CB350,0,170675
HF 100,0,52272
HF Deluxe,0,59002
Himalayan,0,227981
Hornet 2.0,0,128705
Hunter,0,131789
Interceptor 650,0,251542
Jawa,0,150111
Jupiter 110,0,79830
Jupiter 125,0,80011
Livo,0,73895
Maestro Edge 110,0,66070
Maestro Edge 125,0,78351
Meteor 350,0,170805
MT-15,0,145699
Ntorq,0,89209
Passion Plus,0,66608
Passion Pro 100,0,72457
Passion Pro 110,0,80533
Perak,0,172949
Platina 100,0,59671
Platina 110,0,65009
Pleasure Plus LX,0,66839
Pleasure Plus VX,0,70197
Pleasure Plus Xtec  ,0,77456
Pleasure Plus Xtec Zx,0,73960
Pulsar 125,0,84381
Pulsar 150,0,103370
Pulsar 220,0,126810
Pulsar F250,0,138103
Pulsar N160,0,120232
Pulsar N250,0,138103
Pulsar NS125,0,94584
Pulsar NS160,0,125914
Pulsar NS200,0,154560
Pulsar P150,0,104087
R15,0,112632
R15 v4,0,167567
Radeon,0,67859
Raider,0,88538
RayZR 125,0,79895
RC 125,0,151736
RC 200,0,186329
RC 390,0,254643
Ronin,0,126466
Scooty Pep+,0,60779
Scooty Zest,0,78178
Scram 411,0,164693
SP 125,0,83562
Splendor 110cc,0,69319
Sport,0,62961
SR 125,0,107492
SR 160,0,124433
Star City,0,78447
Super Meteor 650,0,299756
Super Splendor 125CC,0,79890
Super Splendor Xtec 125CC,0,81077
Svartpilen 250,0,180225
SXR 125,0,122010
SXR 160,0,132466
Unicorn 150,0,99728
V-Strom 250,0,77229
V-Strom 650,0,172668
Vespa,0,126698
Vitpilen 250,0,179923
XL 100 Com ITS,0,52530
XL 100 Comfort,0,40766
XL 100 HD,0,38719
XL 100 HD ITS,0,50849
XL 100 Win Edition,0,52726
Xoom,0,73431
Xpulse 200 4v,0,136586
Xpulse 200T 4v,0,129026
Xtreme 160R,0,115946
Xtreme 160R 4V,0,121624
Xtreme 200S 4V,0,133952
Grand Total,0,130631
42,1,132803
Access,1,80041
Activa 110,1,74104
Activa 125,1,80002
Adventure 250,1,185132
Adventure 390,1,245217
Aerox,1,126618
Apache RR 310,1,204000
Apache RTR 160 2v,1,104340
Apache RTR 160 4v,1,109252
Apache RTR 180 2v,1,130900
Apache RTR 200 4v,1,124981
Avenger 160,1,99416
Avenger 220,1,121975
Avenis,1,81897
Bobber,1,162218
Burgman,1,89931
CB  ,1,130219
CB Shine,1,66753
CB300F,1,171166
CB300R,1,208566
CB350RS,1,163258
CB650R,1,686570
CBR650R,1,686570
CD 110,1,62155
Classic 350,1,187603
Continental GT 650,1,248750
CT 110,1,60150
CT 125,1,65980
Destini,1,71257
Dio,1,71853
Dominar 250,1,137817
Dominar 400,1,172335
Duet,1,45614
Duke 125,1,151443
Duke 200,1,164027
Duke 250,1,207364
Duke 390,1,223204
Fascino 125,1,75803
FZ,1,112458
FZ 25,1,128723
FZS 25,1,132548
Gixxer 155,1,120961
Gixxer 250,1,168724
Gixxer SF 250,1,182470
Gixxer SF155,1,122963
Gixxer SF250,1,173379
Glamour,1,74391
Glamour Canvas,1,74157
Glamour Xtec,1,80973
Grazia,1,75950
H'ness CB350,1,160008
HF 100,1,49431
HF Deluxe,1,56990
Himalayan,1,220209
Hornet 2.0,1,121710
Hunter,1,123552
Interceptor 650,1,235821
Jawa,1,140729
Jupiter 110,1,78095
Jupiter 125,1,77283
Livo,1,69879
Maestro Edge 110,1,62479
Maestro Edge 125,1,75680
Meteor 350,1,160130
MT-15,1,142532
Ntorq,1,87270
Passion Plus,1,64337
Passion Pro 100,1,69987
Passion Pro 110,1,77787
Perak,1,162140
Platina 100,1,57636
Platina 110,1,61475
Pleasure Plus LX,1,63207
Pleasure Plus VX,1,66382
Pleasure Plus Xtec  ,1,73247
Pleasure Plus Xtec Zx,1,69941
Pulsar 125,1,81504
Pulsar 150,1,99846
Pulsar 220,1,119918
Pulsar F250,1,130597
Pulsar N160,1,113698
Pulsar N250,1,130597
Pulsar NS125,1,91359
Pulsar NS160,1,119071
Pulsar NS200,1,146160
Pulsar P150,1,100539
R15,1,108793
R15 v4,1,163925
Radeon,1,65545
Raider,1,83726
RayZR 125,1,77171
RC 125,1,142253
RC 200,1,174684
RC 390,1,238728
Ronin,1,118562
Scooty Pep+,1,57476
Scooty Zest,1,73929
